Datetime;Resolution code;Region;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor
2024-05-11T00:00:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T00:15:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T00:30:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T00:45:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T01:00:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T01:15:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T01:30:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T01:45:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T02:00:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T02:15:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T02:30:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T02:45:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T03:00:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T03:15:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T03:30:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T03:45:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T04:00:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T04:15:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T04:30:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T04:45:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T05:00:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T05:15:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T05:30:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
2024-05-11T05:45:00+02:00;PT15M;East-Flanders;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1821.121;0.0
