DateTime;Most recent forecast [MW];Day-Ahead forecast [MW];Week-Ahead forecast [MW];Real-time Upscaled Measurement [MW];Corrected Upscaled Measurement [MW];Monitored Capacity [MWp];Day-Ahead forecast (11h00) [MW];percentage;Production
14/03/2024 00:00;0;0;0;0;0;8987.16;0;0;0
14/03/2024 00:15;0;0;0;0;0;8987.16;0;0;0
14/03/2024 00:30;0;0;0;0;0;8987.16;0;0;0
14/03/2024 00:45;0;0;0;0;0;8987.16;0;0;0
14/03/2024 01:00;0;0;0;0;0;8987.16;0;0;0
14/03/2024 01:15;0;0;0;0;0;8987.16;0;0;0
14/03/2024 01:30;0;0;0;0;0;8987.16;0;0;0
14/03/2024 01:45;0;0;0;0;0;8987.16;0;0;0
14/03/2024 02:00;0;0;0;0;0;8987.16;0;0;0
14/03/2024 02:15;0;0;0;0;0;8987.16;0;0;0
14/03/2024 02:30;0;0;0;0;0;8987.16;0;0;0
14/03/2024 02:45;0;0;0;0;0;8987.16;0;0;0
14/03/2024 03:00;0;0;0;0;0;8987.16;0;0;0
14/03/2024 03:15;0;0;0;0;0;8987.16;0;0;0
14/03/2024 03:30;0;0;0;0;0;8987.16;0;0;0
14/03/2024 03:45;0;0;0;0;0;8987.16;0;0;0
14/03/2024 04:00;0;0;0;0;0;8987.16;0;0;0
14/03/2024 04:15;0;0;0;0;0;8987.16;0;0;0
14/03/2024 04:30;0;0;0;0;0;8987.16;0;0;0
14/03/2024 04:45;0;0;0;0;0;8987.16;0;0;0
14/03/2024 05:00;0;0;0;0;0;8987.16;0;0;0
14/03/2024 05:15;0;0;0;0;0;8987.16;0;0;0
14/03/2024 05:30;0;0;0;0;0;8987.16;0;0;0
14/03/2024 05:45;0;0;0;0;0;8987.16;0;0;0
14/03/2024 06:00;0;0;0;0;0;8987.16;0;0;0
14/03/2024 06:15;0;0;0;0;0;8987.16;0;0;0
14/03/2024 06:30;0;0;0;0;0;8987.16;0;0;0
